Gertrud;17-mar-15
Ghazal;25-mar-15
Ghoncheh;2 May 2015
Gibson;18-jan-15
Gideon;08-aug-15
Gilbert;16-mar-15
Gina;08-sep-15
Gisela;04-sep-15
Gizmo;01-dec-15
Glenn;22-apr-15
Gloria;19-jun-15
Golbarg;20 Oct 2015
Gon;13 May 2015
Gordon;15-mar-15
Gottfrid;15-dec-15
Gotthard;5 May 2015
Grace;08-sep-15
Gracie;06-nov-15
Graeme;06-sep-15
Greger;13-mar-15
Grels;13-mar-15
Greta;20-jul-15
Gry;07-jul-15
Guayarmina;29-apr-15
Gudmar;03-jun-15
Gudmund;02-apr-15
Gudrun;24-nov-15
Gun;01-jun-15
Gun-Britt;03-jun-15
Gunborg;03-mar-15
Gunder;09-jan-15
Gunhild;30-jan-15
Gunilla;30-jan-15
Gunnar;09-jan-15
Gunnel;01-jun-15
Gunvor;03-mar-15
Gurli;28-aug-15
Gustav;06-jun-15
Guy;04-feb-15
Göran;23-apr-15
Görel;19-jun-15
Gösta;06-jun-15
Göta;27-jan-15
Göte;27-jan-15
Haddy;22-jan-15
Hailey;22-nov-15
Hakon;14-jun-15
Halvar;14 May 2015
Halvard;14 May 2015
Hamona;05-jan-15
Hampus;29-aug-15
Hamta;15-jan-15
Hamza;10-nov-15
Hanan;03-apr-15
Hanar;24 Oct 2015
Hanene;03-apr-15
Hani;28-aug-15
Hanna;05-jan-15
Hannah;05-jan-15
Hanne;05-jan-15
Hannele;05-jan-15
Hannes;22-aug-15
Hans;29-aug-15
Happy;07-jan-15
Harald;01-apr-15
Harmony;01-dec-15
Harriet;10 Oct 2015
Harry;10 Oct 2015
Hartanto;08-jul-15
Hassan;03-aug-15
Havanna;18-jun-15
Hawkar;31-jul-15
Hector;16-jul-15
Hedda;22-feb-15
Heddy;04-jul-15
Hedvig;15 Oct 2015
Heidi;05-sep-15
Hektor;28 Oct 2015
Helen;31-jul-15
Helena;31-jul-15
Helga;21-nov-15
Helge;30-sep-15
Helle;28-apr-15
Helmer;16-jan-15
Helmi;06-apr-15
Helny;11-sep-15
Hemi;06-apr-15
Hemming;22 May 2015
Henna;20-jul-15
Henning;22 May 2015
Henny;20-aug-15
Henrietta;22-aug-15
Henrik;19-jan-15
Henrika;22-aug-15
Henry;19-jan-15
Herbert;16-mar-15
Herman;12-jul-15
Hermano;12-jul-15
Hermela;15-apr-15
Hermine;12-jul-15
Hershey;12-jan-15
Hervor;01-apr-15
Hesam;20 Oct 2015
Hessam;10-dec-15
Hilda;18-jan-15
Hilde;09-jan-15
Hildegard;17-sep-15
Hilding;21-feb-15
Hildur;18-jan-15
Hilla;20-jun-15
Hillevi;15 Oct 2015
Hilm;1 May 2015
Hilma;1 May 2015
Hjalmar;16-jan-15
Hjördis;03-feb-15
Holger;30-mar-15
Hollie;14-feb-15
Holmfrid;30-mar-15
Hubert;03-nov-15
Hugo;03-nov-15
Hulda;08-sep-15
Hussein;22 May 2015
Hülya;10 Oct 2015
Håkan;14-jun-15
Hästarina;20-apr-15
Iann;08-dec-15
Ida;14-sep-15
Idi;26-mar-15
Idil;14-dec-15
Idun;06-dec-15
Igbal;10-jul-15
Ika;04-jul-15
Ildikó;10-mar-15
Ilir;03-jul-15
Ilona;18-nov-15
Ilyaz;19-jan-15
Iman;24-jan-15
Imane;9 Oct 2015
Imogen;06-nov-15
Ina;20 May 2015
Inanna;18-feb-15
Indica;20-apr-15
Inez;06-aug-15
Inga;25 Oct 2015
Ingalill;25 Oct 2015
Inge;11-feb-15
Ingeborg;28 May 2015
Ingegerd;07-nov-15
Ingela;07-nov-15
Ingemar;03-jun-15
Ingemo;23-mar-15
Ingemund;02-apr-15
Inger;9 Oct 2015
Ingolf;10-apr-15
Ingrid;9 Oct 2015
Ingvar;10-apr-15
Ingvor;10-apr-15
Inka;12 Oct 2015
Irene;05-apr-15
Irina;05-apr-15
Iris;10-feb-15
Irja;05-apr-15
Irma;07-apr-15
Irmelin;07-apr-15
Isa;15-jan-15
Isabell;30 Oct 2015
Isabella;30 Oct 2015
